CID,SMILES,ESOL_predicted,measured
Carbanilide,O=C(Nc1ccccc1)Nc1ccccc1,-3.611,-3.15
phenobarbital,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.272,-2.322
"2',3,4-PCB",Clc1ccc(-c2cccc(Cl)c2Cl)cc1,-5.686,-6.29
Isoproturon,CC(C)c1ccc(NC(=O)N(C)C)cc1,-2.867,-3.536
Azintamide,CCN(CC)C(=O)CSc1ccc(Cl)nn1,-2.231,-1.716
"2,2-Dimethyl-1-butanol",CCC(C)(C)CO,-1.365,-1.04
Ethyl pentanoate,CCCOC(=O)CCC,-1.899,-1.75
"2,4,6-Trinitrotoluene",Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-2.6060000000000003,-3.22
Bensulide,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.99,-4.2
Cycloheptane,C1CCCCCC1,-2.9160000000000004,-3.51
Propyl formate,CCCOC=O,-0.757,-0.49
2-Isopropyltoluene,Cc1ccccc1C(C)C,-3.585,-3.76
m-Chloroaniline,Nc1cccc(Cl)c1,-2.392,-1.37
"2,4-Dimethylpentane",CC(C)CC(C)C,-2.938,-4.26
Dibenzofurane,c1ccc2c(c1)oc1ccccc12,-4.2010000000000005,-4.6
ethofumesate,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,-3.184,-3.42
Fluometuron,CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,-3.065,-3.43
Acridine,c1ccc2nc3ccccc3cc2c1,-3.846,-3.67
Cortisone,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,-2.893,-3.11
glucose,OCC1OC(O)C(O)C(O)C1O,0.501,0.74
3-Methylphenol,Cc1cccc(O)c1,-2.313,-0.68
Indapamide,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,-4.345,-3.5860000000000003
Lovastatin,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,-4.731,-6.005
"1,4-Dinitrobenzene",O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,-2.281,-3.39
Reposal,CCC1(C2=CCC3CCC2C3)C(=O)NC(=O)NC1=O,-2.781,-2.696
Ethyl decanoate,CCCCCCCCCC(=O)OCC,-3.671,-4.1
Fenuron,CN(C)C(=O)Nc1ccccc1,-1.847,-1.6
Ethyl propyl ether,CCCOCC,-1.072,-0.66
2-Propanol,CC(C)O,-0.261,0.43
2-Methylnapthalene,Cc1ccc2ccccc2c1,-3.802,-3.77
Chlorodibromethane,ClC(Br)Br,-2.54,-1.9
Hexestrol,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,-4.854,-4.43
Malathion,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.391,-3.37
Benzylchloride,ClCc1ccccc1,-2.887,-2.39
t-Crotonaldehyde,CC=CC=O,-0.604,0.32
Chlorbromuron,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.938,-3.924
"9,10-Dimethylanthracene",Cc1c2ccccc2c(C)c2ccccc12,-5.228,-6.57
Methyl hexanoate,CCCCCC(=O)OC,-1.899,-1.87
Dimefuron,CN(C)C(=O)Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1,-3.831,-4.328
p-Fluoroacetanilide,CC(=O)Nc1ccc(F)cc1,-2.181,-1.78
alachlor,CCc1cccc(CC)c1N(COC)C(=O)CCl,-3.319,-3.26
Cyclohexene,C1=CCCCC1,-2.16,-2.59
Hydrocortisone ,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.159,-3.09
Pyrimidine,c1cncnc1,-0.884,1.1
p-Chloronitrobenzene,O=[N+]([O-])c1ccc(Cl)cc1,-2.901,-2.92
Methyl propionate,CCC(=O)OC,-0.836,-0.14
o-Chloronitrobenzene,O=[N+]([O-])c1ccccc1Cl,-2.775,-2.55
Neburon,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.157,-4.77
Buthidazole,CN1CC(O)N(c2nnc(C(C)(C)C)s2)C1=O,-2.398,-1.877
Nitrobenzene,O=[N+]([O-])c1ccccc1,-2.2880000000000003,-1.8
Iodobenzene,Ic1ccccc1,-3.8,-3.01
Metolazone,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,-3.777,-3.78
Methocarbamol,COc1ccccc1OCC(O)COC(N)=O,-1.4280000000000002,-0.985
butachlor,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,-4.347,-4.19
"2,3-Dichlorophenol",Oc1cccc(Cl)c1Cl,-3.144,-1.3
Propyl butyrate,CCCC(=O)OC,-1.1909999999999998,-1.92
Propanil,CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.644,-3.0
Triamterene,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,-3.051,-2.404
Ethyl hexanoate,CCCCCC(=O)OCC,-2.254,-2.35
chloralose,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,-1.887,-1.84
Amitraz,Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,-5.533,-5.47
Prometon,COc1nc(NC(C)C)nc(NC(C)C)n1,-3.448,-2.478
1-Octene ,C=CCCCCCC,-3.073,-4.44
p-Methylaniline ,Cc1ccc(N)cc1,-1.954,-1.21
aminothiazole,Nc1nccs1,-1.226,-0.36
Metolcarb,CNC(=O)Oc1ccccc1,-1.947,-1.803
3-Hexanol,CCCC(O)CC,-1.324,-0.8
9-anthrol,Oc1c2ccccc2cc2ccccc12,-4.148,-4.73
2-Methylanthracene,Cc1ccc2cc3ccccc3cc2c1,-4.87,-6.96
"1,2,3-Trimethylbenzene ",Cc1cccc(C)c1C,-3.312,-3.2
Aminocarb,CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.677,-2.36
2-Nonanol,CCCCCCCC(C)O,-2.387,-2.74
Methyldymron,CN(C(=O)NC(C)(C)c1ccccc1)c1ccccc1,-3.863,-3.35
3-Hexanone,CCCC(=O)CC,-1.266,-0.83
bromoxynil,N#Cc1cc(Br)c(O)c(Br)c1,-3.793,-3.33
"3,4-PCB",Clc1ccc(-c2ccccc2)cc1Cl,-5.223,-6.39
Mefenacet,CN(C(=O)COc1nc2ccccc2s1)c1ccccc1,-4.504,-4.873
5-hydroxyquinoline,Oc1cccc2ncccc12,-2.725,-2.54
Carboxin,CC1=C(C(=O)Nc2ccccc2)SCCO1,-2.927,-3.14
Ethoxyzolamide,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,-3.085,-3.81
Pentachlorophenol,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-4.835,-4.28
Bromochloromethane,ClCBr,-1.519,-0.89
metharbital,CCC1(CC)C(=O)NC(=O)N(C)C1=O,-1.658,-2.23
deoxycorticosterone acetate,CC(=O)OCC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,-4.472,-4.63
benzylurea,NC(=O)NCc1ccccc1,-1.509,-0.95
Chlortoluron,Cc1ccc(NC(=O)N(C)C)cc1Cl,-3.048,-3.483
Linuron,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.5810000000000004,-3.592
Cycloheptanol,OC1CCCCCC1,-1.7,-0.88
Thiamphenicol,CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,-1.936,-2.154
thiopental,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-2.96,-3.36
acetazolamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1,-0.7929999999999999,-2.36
p-Nitrophenol,O=[N+]([O-])c1ccc(O)cc1,-2.318,-0.74
Aldrin,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,-5.511,-6.307
Tetrahydrofurane ,C1CCOC1,-0.62,0.49
o-Nitroaniline,Nc1ccccc1[N+](=O)[O-],-2.277,-1.96
"2,2',3,3'-PCB",Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,-6.079,-7.28
phenylbutazone,CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,-4.0760000000000005,-3.81
"2,6-Dinitrotoluene",Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],-2.553,-3.0
Progesterone,CC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,-4.17,-4.42
Chlorazine,CCN(CC)c1nc(Cl)nc(N(CC)CC)n1,-3.663,-4.4110000000000005
captafol,Oc1c2c(c(O)n1SC(Cl)(Cl)C(Cl)Cl)CC=CC2,-4.365,-5.4
"1,2,4-tribromobenzene",Brc1ccc(Br)c(Br)c1,-5.144,-4.5
Oxazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)NC1=O,-3.517,-3.952
Secobarbital,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,-2.415,-2.356
Carvacrol,Cc1ccc(C(C)C)cc1O,-3.224,-2.08
rhodanine,Oc1csc(=S)[nH]1,-0.396,-1.77
Morin,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,-2.7310000000000003,-3.083
Kepone,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,-5.112,-5.259
Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,-3.862,-4.86
Cyclohexane,C1CCCCC1,-2.477,-3.1
Dienochlor,ClC1=C(Cl)C(Cl)(C2(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,-7.848,-7.278
chlordimeform,Cc1cc(Cl)ccc1N=CN(C)C,-3.164,-2.86
Equilenin,CC12CCc3c(ccc4cc(O)ccc34)C1CCC2=O,-3.927,-5.24
1-Octanol,CCCCCCCCO,-2.105,-2.39
Diethyl sulfide,CCSCC,-1.598,-1.34
"1,2-Dichloroethane",ClCCCl,-1.374,-1.06
2-Chloro-2-methylbutane,CCC(C)(C)Cl,-2.278,-2.51
1-Chloro-2-bromoethane,ClCCBr,-1.7380000000000002,-1.32
p-Nitroaniline,Nc1ccc([N+](=O)[O-])cc1,-1.936,-2.37
Lactose,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,1.071,-0.244
RTI 2,CCN1C(=O)c2cccnc2N(CC)c2ncccc21,-3.125,-2.86
Chlorobenzene,Clc1ccccc1,-2.975,-2.38
1-Nonene ,C=CCCCCCCC,-3.427,-5.05
p-Bromoiodobenzene,Brc1ccc(I)cc1,-4.754,-4.56
3-Methyl-3-pentanol,CCC(C)(O)CC,-1.308,-0.36
Pentylbenzene,CCCCCc1ccccc1,-3.899,-4.64
allantoin,NC(=O)Nc1[nH]c(=O)[nH]c1O,0.652,-1.6
Glafenine,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,-5.052,-4.571000000000001
DDD,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,-6.007999999999999,-7.2
testosterone acetate,CC(=O)OC1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,-4.449,-5.184
1-Chloronapthalene,Clc1cccc2ccccc12,-4.063,-3.93
RTI 19,CCN1c2ccccc2C(=O)N(C)c2ccccc21,-4.007,-4.749
2-Hexanol,CCCCC(C)O,-1.324,-0.89
Propylcyclopentane,CCCC1CCCC1,-3.16,-4.74
Etomidate,CCOC(=O)c1cncn1C(C)c1ccccc1,-3.359,-4.735
"3,4-Dichlorophenol",Oc1ccc(Cl)c(Cl)c1,-3.352,-1.25
Cypermethrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-6.775,-8.017000000000001
Benzoxazole,c1ccc2ocnc2c1,-2.214,-1.16
1-Pentanol,CCCCCO,-1.042,-0.6
"N,N-Diethylaniline",CCN(CC)c1ccccc1,-3.16,-3.03
"1,3-Difluorobenzene",Fc1cccc(F)c1,-2.636,-2.0
3-chloropropionitrile,N#CCCCl,-0.522,-0.29
t-Pentylbenzene,CC(C)(C)Cc1ccccc1,-3.867,-4.15
o-Chloroiodobenzene,Clc1ccccc1I,-4.384,-3.54
Benzotriazole,c1ccc2[nH]nnc2c1,-2.21,-0.78
Carbofuran,CNC(=O)Oc1cccc2c1OC(C)(C)C2,-3.05,-2.8
"2,6-Dimethylphenol",Cc1cccc(C)c1O,-2.589,-1.29
3-Methyl-2-butanol,CC(C)C(C)O,-0.954,-0.18
benzhydrol,OC(c1ccccc1)c1ccccc1,-3.033,-2.55
Methyl decanoate,CCCCCCCCCC(=O)OC,-3.3160000000000003,-4.69
Dicapthon,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1Cl,-4.188,-4.31
1-Bromo-2-methylpropane,CC(C)CBr,-2.2880000000000003,-2.43
Iodoethane,CCI,-2.066,-1.6
Pirimicarb,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,-2.34,-1.95
1-Bromohexane,CCCCCCBr,-3.012,-3.81
2-Methylpentane,CCCC(C)C,-2.6,-3.74
Tetrafluthrin,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,-6.339,-7.321000000000001
Metolachlor,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,-3.431,-2.73
nifuroxime,O=[N+]([O-])c1ccc(C=NO)o1,-1.843,-2.19
Fluvalinate,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.057,-8.003
Amitrole,Nc1nc[nH]n1,-0.674,0.522
Tribromomethane,BrC(Br)Br,-2.904,-1.91
Trichlorfon,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-1.866,-0.22
Phosalone,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,-5.024,-5.233
Phenylmethanol,OCc1ccccc1,-1.699,-0.4
Coumatetralyl,O=c1c(C2CCCc3ccccc32)c(O)oc2ccccc12,-5.194,-2.84
4-Bromophenol,Oc1ccc(Br)cc1,-3.132,-1.09
2-Bromopropane,CC(C)Br,-1.949,-1.59
"2,2,4-Trimethylpentane",CC(C)CC(C)(C)C,-3.276,-4.74
"1,3,5-Trinitrobenzene",O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,-2.324,-2.89
Nimetazepam,CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,-3.557,-3.796
Propane,CCC,-1.5530000000000002,-1.94
Minoxidil,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],-1.809,-1.989
1-aminoacridine,Nc1cccc2nc3ccccc3cc12,-3.542,-4.22
Benzo(k)fluoranthene,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,-6.007000000000001,-8.49
Dicofol,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,-6.268,-5.666
Acenapthene,c1cc2c3c(cccc3c1)CC2,-3.792,-4.63
"1,4-Dibromobenzene",Brc1ccc(Br)cc1,-4.298,-4.07
Methazole,Cn1c(=O)on(-c2ccc(Cl)c(Cl)c2)c1=O,-3.6010000000000004,-2.82
p-Phenylphenol,Oc1ccc(-c2ccccc2)cc1,-3.701,-3.48
pyracarbolid,CC1=C(C(=O)Nc2ccccc2)CCCO1,-2.83,-2.56
Ethyl vinyl ether,C=COCC,-0.857,-0.85
1-Butyne,C#CCC,-1.092,-1.24
4-methoxypteridine,COc1ncnc2nccnc12,-1.589,-1.11
3-Methyl-3-heptanol,CCCCC(C)(O)CC,-2.017,-1.6
"1,4-Dichlorobenzene",Clc1ccc(Cl)cc1,-3.5580000000000003,-3.27
3-Ethanoyloxymethylphenytoin,CC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-2.7230000000000003,-4.47
"Sparsomycin (3,8mg/ml)",CSC[S+]([O-])CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,-1.57,-1.981
3-methylindole,Cc1c[nH]c2ccccc12,-2.9810000000000003,-2.42
2-methoxypteridine,COc1ncc2nccnc2n1,-1.589,-1.11
Dioxacarb,CNC(=O)Oc1ccccc1C1OCCO1,-1.614,-1.57
isocarbamid,CC(C)CNC(=O)N1CCNC1=O,-1.508,-2.15
Acetonitrile,CC#N,0.152,0.26
Fenoxycarb,CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,-4.662,-4.7
acetyl sulfisoxazole,CC(=O)N(c1onc(C)c1C)[S+]([O-])c1ccc(N)cc1,-2.024,-3.59
"1,1,1,2-Tetrachloroethane",ClCC(Cl)(Cl)Cl,-2.794,-2.18
1-Butanol,CCCCO,-0.688,0.0
Siduron,CC1CCCCC1NC(=O)Nc1ccccc1,-3.779,-4.11
"1,3,5-Trichlorobenzene",Clc1cc(Cl)cc(Cl)c1,-4.159,-4.48
Furfural,O=Cc1ccco1,-1.391,-0.1
3-Methylbutan-1-ol,CC(C)CCO,-1.027,-0.51
piperonal,O=Cc1ccc2c(c1)OCO2,-2.033,-1.63
2-Methylpropene,C=C(C)C,-1.5730000000000002,-2.33
Benzaldehyde,O=Cc1ccccc1,-1.999,-1.19
"2,3-Dimethyl-1,3-Butadiene",C=C(C)C(=C)C,-2.052,-2.4
Benfuracarb,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2)C(C)C,-5.132999999999999,-4.71
RTI 10,CN1C(=O)c2cccnc2Oc2ccccc21,-2.7710000000000004,-3.672
Fluorene ,c1ccc2c(c1)Cc1ccccc1-2,-4.125,-5.0
Methylcyclohexane ,CC1CCCCC1,-2.891,-3.85
sulfaguanidine,N=C(N)NS(=O)(=O)c1ccc(N)cc1,-0.706,-1.99
Methylparaben,COC(=O)c1ccc(O)cc1,-2.441,-1.827
2-Methyltetrahydrofurane,CC1CCCO1,-1.034,0.11
Santonin,CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,-2.43,-3.09
Salicin,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,-0.975,-0.85
1-Iodopropane,CCCI,-2.486,-2.29
Ametryn,CCNc1nc(NC(C)C)nc(SC)n1,-3.43,-3.04
1-Propanol,CCCO,-0.3339999999999999,0.62
Hydroxyprogesterone-17a,CC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,-3.876,-3.817
2-Pentanol,CCCC(C)O,-0.97,-0.29
benzoin,O=C(c1ccccc1)C(O)c1ccccc1,-3.148,-2.85
"2,4-Dimethylphenol",Cc1ccc(O)c(C)c1,-2.6210000000000004,-1.19
m-Chloronitrobenzene ,O=[N+]([O-])c1cccc(Cl)c1,-2.901,-2.77
ampyrone,Cc1c(N)c(=O)n(-c2ccccc2)n1C,-1.192,-0.624
"2,2',4,5'-PCB",Clc1ccc(-c2cc(Cl)ccc2Cl)c(Cl)c1,-6.23,-6.57
"Hexachloro-1,3-butadiene",ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-4.546,-4.92
Terbutryn,CCNc1nc(NC(C)(C)C)nc(SC)n1,-3.75,-4.0
3-Methyl-2-pentanol,CCC(C)CCO,-1.308,-0.71
2-methylpteridine,Cc1ncc2nccnc2n1,-1.24,-0.12
Danazol,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,-4.557,-5.507000000000001
1-Iodobutane,CCCCI,-2.841,-2.96
"Digoxin (L1=41,8mg/mL, L2=68,2mg/mL, Z=40,1mg/mL)",CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(c7coc(O)c7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,-5.312,-4.081
Benzyltrifluoride,FC(F)(F)c1ccccc1,-3.099,-2.51
Dihexyl phthalate,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-5.757999999999999,-6.144
Dibenzothiophene,c1ccc2c(c1)sc1ccccc12,-4.597,-4.38
"2,3',4,4'-PCB",Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,-6.709,-7.8
"2,2',3,3',4,4'-PCB",Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-7.192,-8.01
Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,-3.913,-3.893
hydrobenzoin,OC(c1ccccc1)C(O)c1ccccc1,-2.645,-1.93
Dimethyl phthalate,COC(=O)c1ccccc1C(=O)OC,-2.347,-1.66
Ethyl octanoate,CCCCCCCC(=O)OCC,-2.962,-3.39
Diethyldisulfide,CCSSCC,-2.364,-2.42
"1,2-Diethoxyethane ",CCOCCOCC,-0.833,-0.77
"1,2,4,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)cc1Cl,-4.621,-5.56
p-benzidine,Nc1ccc(-c2ccc(N)cc2)cc1,-2.613,-2.7
1-Heptene,C=CCCCCC,-2.718,-3.73
Ethirimol,CCCCc1c(C)[nH]c(NCC)nc1=O,-2.732,-3.028
Pentobarbital,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.312,-2.39
o-Chloroaniline,Nc1ccccc1Cl,-2.392,-1.52
3-Chloroanisole,COc1cccc(Cl)c1,-3.057,-2.78
Pebulate,CCCCN(CC)C(=O)SCCC,-3.131,-3.53
Butyl acetate,CCCCOC=O,-1.111,-1.37
Prednisolone,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-2.974,-3.18
Bromodichloromethane,ClC(Cl)Br,-2.176,-1.54
adrenosterone,CC12CC(=O)C3C(CC=C4CC(=O)CCC43C)C1CCC2=O,-2.99,-3.48
p-terphenyl,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,-5.7410000000000005,-7.11
p-Hydroxybenzaldehyde ,O=Cc1ccc(O)cc1,-2.003,-0.96
Bromomethane,CBr,-1.109,-0.79
Perfluidone,Cc1cc(S(=O)(=O)c2ccccc2)ccc1NS(=O)(=O)C(F)(F)F,-4.945,-3.8
Coumachlor,CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,-4.553999999999999,-5.839
2-Ethylnaphthalene,CCc1ccc2ccccc2c1,-4.1,-4.29
5-methylcytosine,Cc1c[nH]c(=O)nc1N,-0.257,-1.4580000000000002
"2,3,4,5,6-PCB",Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl,-6.785,-7.92
benodanil,O=C(Nc1ccccc1)c1ccccc1I,-4.245,-4.21
Riboflavin,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,-1.865,-3.685
o-Fluorobromobenzene,Fc1ccccc1Br,-3.467,-2.7
"2,4-Dichlorophenol ",Oc1ccc(Cl)cc1Cl,-3.22,-1.55
Permethrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,-7.129,-6.291
piroxicam,CN1C(C(=O)Nc2ccccn2)C(=O)c2ccccc2S1(=O)=O,-3.4730000000000003,-4.16
3-Propanoyloxymethylphenytoin,CCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-3.128,-4.907
Cyclopentane ,C1CCCC1,-2.0380000000000003,-2.64
o-Toluidine,Cc1ccccc1N,-1.922,-2.21
Estragole,C=CCc1ccc(OC)cc1,-3.074,-2.92
karbutilate,CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,-2.655,-2.93
3-Methyl-1-Butene,C=CC(C)C,-1.994,-2.73
2-Hydroxypyridine,O=c1cccc[nH]1,-1.655,1.02
Ethane,CC,-1.132,-1.36
"1,2-Dichlorobenzene",Clc1ccccc1Cl,-3.482,-3.05
mercaptobenzothiazole,S=c1[nH]c2ccccc2s1,-3.411,-3.18
"2,2',3,3',4,4',5,5',6,6'-PCB",Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-9.589,-11.6
Methoxsalen,COc1c2occc2cc2ccc(=O)oc12,-3.25,-3.664
Acetamide,CC(N)=O,0.494,1.58
1-Methylnaphthalene,Cc1cccc2ccccc12,-3.802,-3.7
Napropamide,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,-4.088,-3.57
"3,3-Dimethyl-2-butanol",CC(O)C(C)(C)C,-1.2919999999999998,-0.62
Methyl pentanoate,CCCC(=O)OCC,-1.545,-1.36
Menadione,CC1=CC(=O)c2ccccc2C1=O,-2.667,-3.03
Phenanthrene,c1ccc2c(c1)ccc1ccccc12,-4.518,-5.26
"2,4-Dimethylpyridine",Cc1ccnc(C)c1,-2.0980000000000003,0.38
1-Nonanol,CCCCCCCCCO,-2.46,-3.01
Dibromomethane,BrCBr,-1.883,-1.17
Dexamethasone,CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.4,-3.59
"2,6-Dimethylnaphthalene ",Cc1ccc2cc(C)ccc2c1,-4.147,-4.89
Butylate,CCSC(=O)N(CC(C)C)CC(C)C,-3.4530000000000003,-3.68
nitroglycerin,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],-2.029,-2.22
m-Nitroaniline,Nc1cccc([N+](=O)[O-])c1,-1.936,-2.19
1-Chlorobutane,CCCCCl,-1.94,-2.03
triforine,O=CNC(N1C=CN(C(NC=O)C(Cl)(Cl)Cl)C=C1)C(Cl)(Cl)Cl,-3.715,-4.19
Fluridone,Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1,-4.249,-4.445
6-aminochrysene,Nc1cc2c3ccccc3ccc2c2ccccc12,-4.849,-6.2
Estrone,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,-3.872,-3.955
RTI 17,CCN1c2ccccc2N(C)C(=S)c2cccnc21,-4.227,-4.706
"1,2-Propylene oxide",CC1CO1,-0.358,-0.59
Nitrazepam,O=C1C=NC(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,-3.4730000000000003,-3.796
"1,3-diethylthiourea",CCNC(=S)NCC,-1.028,-1.46
"2,3,5-Trichlorophenol",Oc1cc(Cl)cc(Cl)c1Cl,-3.78,-2.67
Propyl propanoate,CCCCC(=O)OC,-1.545,-1.34
Aniline ,Nc1ccccc1,-1.632,-0.41
"1,5-Dimethlnapthalene",Cc1cccc2c(C)cccc12,-4.147,-4.678999999999999
hydrochlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-1.72,-2.63
Acenapthylene,C1=Cc2cccc3cccc1c23,-3.682,-3.96
Ethyl butyrate,CCCCCOC(=O)CC,-2.254,-1.28
Atratone,CCNc1nc(NC(C)C)nc(OC)n1,-3.185,-2.084
Benzo(a)pyrene,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-6.007000000000001,-8.699
Bromoethane,CCBr,-1.529,-1.09
3-Hexyne,CCC#CCC,-1.933,-1.99
Digitoxin,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(c7coc(O)c7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,-6.114,-5.292999999999999
2-Methyl-1-Butene,C=C(C)CC,-1.994,-2.73
8-quinolinol,Oc1cccc2cccnc12,-2.725,-2.42
"1,2,3,4-Tetrahydronapthalene",c1ccc2c(c1)CCCC2,-3.447,-4.37
phenolphthalein,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,-4.59,-2.9
